h_ct,h_lat,h_lon
48201410200,29.7574268,-95.39206708
48201410300,29.75675197,-95.40373446
48201410401,29.74751363,-95.40639248
48201410402,29.74749794,-95.39871712
48201410500,29.74910164,-95.38873414
48201410600,29.74634788,-95.37780977
48201410701,29.74178424,-95.38985005
48201410702,29.73641295,-95.38978419
48201410800,29.73852456,-95.40500775
48201410900,29.73293003,-95.39930968
48201411000,29.73778894,-95.41770072
48201411100,29.75037293,-95.41408035
48201411200,29.75308559,-95.43118038
48201411300,29.74908376,-95.45262138
48201411400,29.74464472,-95.43308144
48201411501,29.73549168,-95.44222574
48201411502,29.73498187,-95.42862499
48201411600,29.73547113,-95.45374649
48201411700,29.72548499,-95.45435539
48201411800,29.72719004,-95.42969679
48201411900,29.7278124,-95.39771855
48201412000,29.72153707,-95.41071343
48201412100,29.71722593,-95.40273235
48201412200,29.70693523,-95.41107061
48201412300,29.71575463,-95.42417744
48201412400,29.71620086,-95.43526751
48201412500,29.70895716,-95.43660068
48201412600,29.71483054,-95.44450789
48201412700,29.71349959,-95.45366775
48201412800,29.69785731,-95.45319814
48201412900,29.68467459,-95.44936698
48201413000,29.6973184,-95.44239809
48201413100,29.69855253,-95.43233676
48201413201,29.70101805,-95.42476966
48201413202,29.70112639,-95.41995158
48201413300,29.68772785,-95.4280528
48201420100,29.67330976,-95.43575104
48201420200,29.66799272,-95.44345648
48201420300,29.67152875,-95.45420192
48201420400,29.65769634,-95.45598321
48201420500,29.6500083,-95.47279105
48201420600,29.66110273,-95.47012969
48201420700,29.67202157,-95.46947907
48201420800,29.68430764,-95.46848228
48201420900,29.69712026,-95.47013765
48201421000,29.71317329,-95.46545145
48201421101,29.72230895,-95.47001346
48201421102,29.72117037,-95.48057008
48201421201,29.72267947,-95.48834593
48201421202,29.71813162,-95.49176048
48201421300,29.70912124,-95.50128921
48201421401,29.71444304,-95.49251104
48201421402,29.7145907,-95.4868557
48201421403,29.70912089,-95.48889615
48201421500,29.71170261,-95.47787094
48201421600,29.70162404,-95.48445284
48201421700,29.68653566,-95.48833153
48201421800,29.68382,-95.48065705
48201421900,29.67150742,-95.48485363
48201422000,29.66200135,-95.48465749
48201422100,29.64834917,-95.48706673
48201422200,29.63877694,-95.50134915
48201422301,29.64968322,-95.50455302
48201422302,29.64902687,-95.49713275
48201422401,29.66136397,-95.50481095
48201422402,29.65948463,-95.49682415
48201422500,29.67194544,-95.50031411
48201422600,29.68437619,-95.50020455
48201422701,29.69737534,-95.49997269
48201422702,29.69898906,-95.50936775
48201422800,29.69002866,-95.51778895
48201422900,29.68242942,-95.530155
48201423000,29.67785847,-95.51801174
48201423100,29.66926873,-95.54411414
48201423201,29.66094417,-95.54411289
48201423202,29.66443525,-95.53210819
48201423301,29.66961441,-95.51746437
48201423302,29.66061933,-95.51825287
48201423401,29.65000398,-95.51716269
48201423402,29.64855414,-95.52965171
48201423500,29.65094656,-95.54119042
48201423600,29.63680568,-95.51954586
48201430100,29.77615997,-95.46753118
48201430200,29.77591527,-95.4847406
48201430300,29.77152352,-95.4988319
48201430400,29.75859374,-95.51551176
48201430500,29.77955226,-95.52000258
48201430600,29.76475151,-95.53178129
48201430700,29.77687839,-95.53884881
48201430800,29.7758864,-95.55292989
48201430900,29.75836131,-95.54286938
48201431000,29.7474789,-95.54928908
48201431101,29.74415998,-95.53565834
48201431102,29.74150444,-95.52830688
48201431201,29.74036276,-95.51589656
48201431202,29.74383459,-95.50551436
48201431301,29.74387434,-95.49822486
48201431302,29.74362958,-95.49037569
48201431401,29.74442342,-95.48398913
48201431402,29.74386824,-95.47982267
48201431501,29.75573084,-95.48123666
48201431502,29.75353189,-95.49262588
48201431600,29.76452796,-95.48379883
48201431700,29.75822506,-95.46760974
48201431801,29.74442839,-95.47227923
48201431802,29.74748747,-95.46124544
48201431900,29.73457114,-95.46426279
48201432001,29.73468812,-95.47890051
48201432002,29.73463826,-95.49543972
48201432100,29.7336081,-95.51137103
48201432200,29.73296212,-95.53010333
48201432300,29.73256287,-95.54843511
48201432400,29.72349287,-95.54852667
48201432500,29.72456175,-95.5298849
48201432600,29.72587261,-95.51063943
48201432701,29.72755097,-95.49479839
48201432702,29.72887492,-95.47816671
48201432801,29.71781508,-95.50826077
48201432802,29.70817241,-95.51551055
48201432901,29.71625234,-95.52792148
48201432902,29.70975942,-95.53117996
48201433001,29.71567134,-95.54855493
48201433002,29.70930486,-95.54205019
48201433003,29.7083526,-95.55138492
48201433100,29.69701352,-95.55463812
48201433201,29.69838836,-95.54838487
48201433202,29.69680434,-95.54124817
48201433300,29.69843817,-95.5296222
48201433400,29.68608259,-95.54124916
48201433501,29.6813403,-95.54902745
48201433502,29.68028293,-95.5557007
48201433600,29.67034075,-95.55396402
48201440100,29.64400623,-95.54806552
48201450100,29.77715387,-95.56696182
48201450200,29.7790507,-95.57963166
48201450300,29.77738526,-95.59827558
48201450400,29.77888046,-95.61325585
48201450500,29.77821177,-95.63478949
